FID,objectid_1,objectid,facility_n,begin,end,facility_c,status,route_id,bpp_2005,local_plan,jurisdicti,st,note,miles,priority,yr_constr,i269,blvd,divided,fund_sourc,shape_leng,shape_le_1,Shape__Length
413,937,1015,Delano Rd,Stage-Delano,Overton Crossing,Marked Shared Roadway,Existing,MEM 20; MEM 30,,ARRA,Memphis,TN,,0.690439656868,Primary,2012,N,,,ARRA,3645.52138826,3645.52138826,1358.77365178576
414,938,1016,James Rd,McLean,Hollywood,Signed Shared Roadway,Existing,MEM 30; MEM 40,,2003Routes,Memphis,TN,,1.10468601082,Primary,2012,N,,,Local,5832.74213712,5832.74213712,2173.76164182736
415,939,1017,Houston Levee Rd,US-64,Plum Creek,Bike Lane,Existing,,NEW2011,2012PW,Memphis,TN,,0.715876132806,Secondary,2012,N,,,Local,3779.82598121,3779.82598121,1413.02796284056
416,940,1018,Houston Levee Rd,Plum Creek,North of Tanasi Cv,Paved Shoulder,Existing,,NEW2011,2012PW,Memphis,TN,,0.34695491815,Secondary,2012,N,,,Local,1831.92196783,1831.92196783,685.408521186445
417,941,1019,Houston Levee Rd,West of Lenow,Memphis City Limit,Paved Shoulder,Existing,,NEW2011,2012PW,Memphis,TN,,0.0751060940639,Secondary,2012,N,,,Local,396.560176658,396.560176658,148.070398376156
418,942,1020,Range Line Rd,Corning,Frayer,Signed Shared Roadway,Existing,MEM 30; MEM 40; MEM 60,,2003Routes,Memphis,TN,,0.211381871677,Primary,2003,N,,,Local,1116.09628245,1116.09628245,417.834211434503
419,943,1021,St. Elmo Ave,Overton Crossing,Range Line,Signed Shared Roadway,Existing,MEM 30; MEM 40; MEM 60,,2003Routes,Memphis,TN,,1.04355927487,Primary,2003,N,,,Local,5509.99297129,5509.99297129,2054.1205872915
420,947,1025,North Second St,Whitney,Mud Island,Signed Shared Roadway,Existing,MEM 20; MEM 60; MRT,,2003Routes,Memphis,TN,,0.944913953023,Primary,2003,N,,,Local,4989.14567196,4989.14567196,1865.49989873443
421,948,1026,N Mud Island Dr,Island,N Second,Signed Shared Roadway,Existing,MEM 20; MEM 60; MRT,,2003Routes,Memphis,TN,,0.671366507248,Primary,2003,N,Y,,Local,3544.81515827,3544.81515827,1321.73584568601
422,949,1027,AW Willis Ave,Island,Front,Signed Shared Roadway,Existing,MEM 20; MEM 60; MRT,,2003Routes,Memphis,TN,,0.400737969103,Primary,2003,N,Y,,Local,2115.89647687,2115.89647687,788.340974324552
423,950,1028,Millbranch Rd,Nonconnah,Brooks,Bike Lane,Existing,,,ARRA,Memphis,TN,,0.690861532679,Secondary,2012,N,,Y,ARRA,3647.74889254,3647.74889254,1362.8609987036
424,951,1029,Millbranch Rd,Brooks,Winchester,Signed Shared Roadway,Existing,,,ARRA,Memphis,TN,,0.501533923884,Secondary,2012,N,,,ARRA,2648.09911811,2648.09911811,989.351562091894
425,952,1031,Central Ave,Highland,Patterson,Marked Shared Roadway,Existing,MEM 40; MEM 60,,STP2,Memphis,TN,,0.278807170407,Primary,2012,N,,,STP-M,1472.10185975,1472.10185975,547.967933428125
426,953,1032,Craigmont Rd,Covington Pike,Old Brownsville,Signed Shared Roadway,Existing,,,2012PW,Memphis,TN,,0.688744861647,,2012,N,Y,,Local,3636.5728695,3636.5728695,1355.6056650224
427,954,1033,Raines Rd,Millbranch,Airways,Signed Shared Roadway,Existing,,Funded,2012PW,Memphis,TN,,1.0034846241,Regional,2012,N,,,Local,5298.39881526,5298.39881526,1970.09626128264
428,955,1034,Adams Ave,US-51,Jefferson,Marked Shared Roadway,Existing,,,2012PW,Memphis,TN,,0.843800714035,,2012,,,,Local,4455.2677701,4455.2677701,1659.57598082528
429,956,1035,Manassas St,Union,Dr MLK Jr,Cycle Track,Existing,,,2016PW,Memphis,TN,,0.229434002283,,2017,,,,Local,1211.41153206,1211.41153206,452.647061885578
430,957,1036,Front St,AW Willis,Jefferson,Bike Lane,Existing,MEM 10; MEM 60; MRT,,2015CIP,Memphis,TN,,0.7179851124,Primary,2015,N,,,Local,3790.96139347,3790.96139347,1417.37666973776
431,958,1037,"Dr. MLK, Jr. Ave",Front,Third,Bike Lane,Existing,MEM 10; MEM 60,,2012PW,Memphis,TN,,0.269633566088,,2012,,,,Local,1423.66522894,1423.66522894,530.705555108238
432,959,1038,Riverside Dr,Jefferson,Beale,Signed Shared Roadway,Existing,MEM 10; MEM 60; MRT,,2003Routes,Memphis,TN,,0.503916762317,Primary,2003,N,,,Local,2660.68050503,2660.68050503,994.313093152974
433,960,1039,Jefferson Ave,Riverside,Front,Signed Shared Roadway,Existing,MEM 10; MEM 60; MRT,,2003Routes,Memphis,TN,,0.0605793888081,Primary,2003,N,Y,,Local,319.859172907,319.859172907,119.147250132917
434,961,1040,Beale St,Riverside,Front,Signed Shared Roadway,Existing,MEM 10; MEM 60,,2003Routes,Memphis,TN,,0.113075515547,Primary,2003,N,,,Local,597.038722087,597.038722087,222.406589753125
435,962,1041,Galloway Dr,Evergreen,McLean,Signed Shared Roadway,Existing,MEM 40,,2003Routes,Memphis,TN,,0.255150339953,Primary,2003,N,Y,,Local,1347.19379495,1347.19379495,501.675179758304
436,963,1042,Tutwiler St,Evergreen,McLean,Signed Shared Roadway,Existing,MEM 20; MEM 30; MEM 40,,2003Routes,Memphis,TN,,0.2545929431,Primary,2003,N,Y,,Local,1344.25073957,1344.25073957,500.605980559203
